faq_id,question,answer
faq_1,"Wie kann ich ein Konto erstellen?","Ein Kundenkonto erstellst du bei NexaMarket ueber den Button ""Registrieren"" und das anschliessende Formular."
faq_2,"Wie registriere ich mich bei euch?","Ein Kundenkonto erstellst du bei NexaMarket ueber den Button ""Registrieren"" und das anschliessende Formular."
faq_3,"Wie lege ich einen Account an?","Ein Kundenkonto erstellst du bei NexaMarket ueber den Button ""Registrieren"" und das anschliessende Formular."
faq_4,"Wie kann ich mich anmelden bzw registrieren?","Ein Kundenkonto erstellst du bei NexaMarket ueber den Button ""Registrieren"" und das anschliessende Formular."
faq_5,"Wo erstelle ich ein Benutzerkonto?","Ein Kundenkonto erstellst du bei NexaMarket ueber den Button ""Registrieren"" und das anschliessende Formular."
faq_6,Ich habe mein Passwort vergessen was kann ich tun?,Dein Passwort kannst du ueber die Funktion ""Passwort vergessen"" zuruecksetzen.
faq_7,Wie setze ich mein Passwort zurück?,Dein Passwort kannst du ueber die Funktion ""Passwort vergessen"" zuruecksetzen.
faq_8,Passwort vergessen wie bekomme ich ein neues?,Dein Passwort kannst du ueber die Funktion ""Passwort vergessen"" zuruecksetzen.
faq_9,Ich komme nicht mehr rein weil ich mein Passwort vergessen habe,Dein Passwort kannst du ueber die Funktion ""Passwort vergessen"" zuruecksetzen.
faq_10,Wo kann ich mein Passwort neu erstellen?,Dein Passwort kannst du ueber die Funktion ""Passwort vergessen"" zuruecksetzen.
faq_11,Wie kann ich meine E Mail Adresse ändern?,Deine E Mail Adresse kannst du in den Kontoeinstellungen aendern.
faq_12,Wo ändere ich meine hinterlegte E Mail?,Deine E Mail Adresse kannst du in den Kontoeinstellungen aendern.
faq_13,Ich möchte meine Mailadresse aktualisieren wie geht das?,Deine E Mail Adresse kannst du in den Kontoeinstellungen aendern.
faq_14,Wie bearbeite ich meine Account E Mail?,Deine E Mail Adresse kannst du in den Kontoeinstellungen aendern.
faq_15,Kann ich meine E Mail im Profil ändern?,Deine E Mail Adresse kannst du in den Kontoeinstellungen aendern.
faq_16,Wie kann ich meine Bestellung verfolgen?,Den Status deiner Bestellung verfolgst du ueber den Tracking-Link in der Versandbestaetigung.
faq_17,Wo sehe ich den Status meiner Bestellung?,Den Status deiner Bestellung verfolgst du ueber den Tracking-Link in der Versandbestaetigung.
faq_18,Wie überprüfe ich wo meine Bestellung ist?,Den Status deiner Bestellung verfolgst du ueber den Tracking-Link in der Versandbestaetigung.
faq_19,Wie finde ich meine Sendungsverfolgung?,Den Status deiner Bestellung verfolgst du ueber den Tracking-Link in der Versandbestaetigung.
faq_20,Gibt es eine Trackingnummer für meine Bestellung?,Den Status deiner Bestellung verfolgst du ueber den Tracking-Link in der Versandbestaetigung.
faq_21,Wie lange dauert der Versand?,Die regulaere Lieferzeit bei NexaMarket betraegt in der Regel 2 bis 5 Werktage.
faq_22,Wann kommt meine Bestellung an?,Die regulaere Lieferzeit bei NexaMarket betraegt in der Regel 2 bis 5 Werktage.
faq_23,Wie viele Tage dauert die Lieferung?,Die regulaere Lieferzeit bei NexaMarket betraegt in der Regel 2 bis 5 Werktage.
faq_24,Wie schnell liefert ihr?,Die regulaere Lieferzeit bei NexaMarket betraegt in der Regel 2 bis 5 Werktage.
faq_25,Mit welcher Lieferzeit muss ich rechnen?,Die regulaere Lieferzeit bei NexaMarket betraegt in der Regel 2 bis 5 Werktage.
faq_26,Welche Zahlungsmethoden bietet ihr an?,Wir akzeptieren Kreditkarte, PayPal und Klarna.
faq_27,Wie kann ich bezahlen?,Wir akzeptieren Kreditkarte, PayPal und Klarna.
faq_28,Welche Zahlungsarten gibt es?,Wir akzeptieren Kreditkarte, PayPal und Klarna.
faq_29,Akzeptiert ihr PayPal oder Kreditkarte?,Wir akzeptieren Kreditkarte, PayPal und Klarna.
faq_30,Wie funktioniert die Bezahlung?,Wir akzeptieren Kreditkarte, PayPal und Klarna.
faq_31,Kann ich meine Bestellung stornieren?,Eine Bestellung kannst du stornieren, solange sie noch nicht versendet wurde.
faq_32,Wie storniere ich eine Bestellung?,Eine Bestellung kannst du stornieren, solange sie noch nicht versendet wurde.
faq_33,Ist eine Stornierung nach Bestellung möglich?,Eine Bestellung kannst du stornieren, solange sie noch nicht versendet wurde.
