faq_id,question,answer
faq_1,"Wie kann ich ein Konto erstellen?","Du kannst ein Konto erstellen, indem du auf ""Registrieren"" klickst und das Formular ausfüllst."
faq_2,"Wie registriere ich mich bei euch?","Du kannst ein Konto erstellen, indem du auf ""Registrieren"" klickst und das Formular ausfüllst."
faq_3,"Wie lege ich einen Account an?","Du kannst ein Konto erstellen, indem du auf ""Registrieren"" klickst und das Formular ausfüllst."
faq_4,"Wie kann ich mich anmelden bzw registrieren?","Du kannst ein Konto erstellen, indem du auf ""Registrieren"" klickst und das Formular ausfüllst."
faq_5,"Wo erstelle ich ein Benutzerkonto?","Du kannst ein Konto erstellen, indem du auf ""Registrieren"" klickst und das Formular ausfüllst."
faq_6,Ich habe mein Passwort vergessen was kann ich tun?,Du kannst dein Passwort über die Passwort vergessen Funktion zurücksetzen.
faq_7,Wie setze ich mein Passwort zurück?,Du kannst dein Passwort über die Passwort vergessen Funktion zurücksetzen.
faq_8,Passwort vergessen wie bekomme ich ein neues?,Du kannst dein Passwort über die Passwort vergessen Funktion zurücksetzen.
faq_9,Ich komme nicht mehr rein weil ich mein Passwort vergessen habe,Du kannst dein Passwort über die Passwort vergessen Funktion zurücksetzen.
faq_10,Wo kann ich mein Passwort neu erstellen?,Du kannst dein Passwort über die Passwort vergessen Funktion zurücksetzen.
faq_11,Wie kann ich meine E Mail Adresse ändern?,Du kannst deine E Mail Adresse in den Kontoeinstellungen ändern.
faq_12,Wo ändere ich meine hinterlegte E Mail?,Du kannst deine E Mail Adresse in den Kontoeinstellungen ändern.
faq_13,Ich möchte meine Mailadresse aktualisieren wie geht das?,Du kannst deine E Mail Adresse in den Kontoeinstellungen ändern.
faq_14,Wie bearbeite ich meine Account E Mail?,Du kannst deine E Mail Adresse in den Kontoeinstellungen ändern.
faq_15,Kann ich meine E Mail im Profil ändern?,Du kannst deine E Mail Adresse in den Kontoeinstellungen ändern.
faq_16,Wie kann ich meine Bestellung verfolgen?,Du kannst deine Bestellung über den Tracking Link in der Versandbestätigung verfolgen.
faq_17,Wo sehe ich den Status meiner Bestellung?,Du kannst deine Bestellung über den Tracking Link in der Versandbestätigung verfolgen.
faq_18,Wie überprüfe ich wo meine Bestellung ist?,Du kannst deine Bestellung über den Tracking Link in der Versandbestätigung verfolgen.
faq_19,Wie finde ich meine Sendungsverfolgung?,Du kannst deine Bestellung über den Tracking Link in der Versandbestätigung verfolgen.
faq_20,Gibt es eine Trackingnummer für meine Bestellung?,Du kannst deine Bestellung über den Tracking Link in der Versandbestätigung verfolgen.
faq_21,Wie lange dauert der Versand?,Die Lieferzeit beträgt in der Regel 2 bis 5 Werktage.
faq_22,Wann kommt meine Bestellung an?,Die Lieferzeit beträgt in der Regel 2 bis 5 Werktage.
faq_23,Wie viele Tage dauert die Lieferung?,Die Lieferzeit beträgt in der Regel 2 bis 5 Werktage.
faq_24,Wie schnell liefert ihr?,Die Lieferzeit beträgt in der Regel 2 bis 5 Werktage.
faq_25,Mit welcher Lieferzeit muss ich rechnen?,Die Lieferzeit beträgt in der Regel 2 bis 5 Werktage.
faq_26,Welche Zahlungsmethoden bietet ihr an?,Wir akzeptieren Kreditkarte PayPal und Klarna.
faq_27,Wie kann ich bezahlen?,Wir akzeptieren Kreditkarte PayPal und Klarna.
faq_28,Welche Zahlungsarten gibt es?,Wir akzeptieren Kreditkarte PayPal und Klarna.
faq_29,Akzeptiert ihr PayPal oder Kreditkarte?,Wir akzeptieren Kreditkarte PayPal und Klarna.
faq_30,Wie funktioniert die Bezahlung?,Wir akzeptieren Kreditkarte PayPal und Klarna.
faq_31,Kann ich meine Bestellung stornieren?,Du kannst deine Bestellung stornieren solange sie noch nicht versendet wurde.
faq_32,Wie storniere ich eine Bestellung?,Du kannst deine Bestellung stornieren solange sie noch nicht versendet wurde.
faq_33,Ist eine Stornierung nach Bestellung möglich?,Du kannst deine Bestellung stornieren solange sie noch nicht versendet wurde.
faq_34,Wie kann ich einen Auftrag abbrechen?,Du kannst deine Bestellung stornieren solange sie noch nicht versendet wurde.
faq_35,Kann ich den Kauf rückgängig machen?,Du kannst deine Bestellung stornieren solange sie noch nicht versendet wurde.
faq_36,Wie kann ich einen Artikel zurückgeben?,Du kannst Artikel innerhalb von 14 Tagen zurücksenden.
faq_37,Wie funktioniert eine Rücksendung?,Du kannst Artikel innerhalb von 14 Tagen zurücksenden.
faq_38,Wie sende ich eine Bestellung zurück?,Du kannst Artikel innerhalb von 14 Tagen zurücksenden.
faq_39,Gibt es ein Rückgaberecht?,Du kannst Artikel innerhalb von 14 Tagen zurücksenden.
faq_40,Wie läuft die Retoure ab?,Du kannst Artikel innerhalb von 14 Tagen zurücksenden.
faq_41,Wann bekomme ich mein Geld zurück?,Die Rückerstattung erfolgt innerhalb von 5 bis 7 Werktagen nach Eingang der Retoure.
faq_42,Wie lange dauert eine Rückerstattung?,Die Rückerstattung erfolgt innerhalb von 5 bis 7 Werktagen nach Eingang der Retoure.
faq_43,Wann wird mir der Betrag erstattet?,Die Rückerstattung erfolgt innerhalb von 5 bis 7 Werktagen nach Eingang der Retoure.
faq_44,Wie schnell bekomme ich mein Geld zurück?,Die Rückerstattung erfolgt innerhalb von 5 bis 7 Werktagen nach Eingang der Retoure.
faq_45,Wie lange dauert es bis zur Gutschrift?,Die Rückerstattung erfolgt innerhalb von 5 bis 7 Werktagen nach Eingang der Retoure.
faq_46,Muss ich ein Kundenkonto haben um zu bestellen?,Nein du kannst auch als Gast bestellen.
faq_47,Kann ich ohne Registrierung bestellen?,Nein du kannst auch als Gast bestellen.
faq_48,Brauche ich ein Konto für eine Bestellung?,Nein du kannst auch als Gast bestellen.
faq_49,Ist ein Account zwingend erforderlich?,Nein du kannst auch als Gast bestellen.
faq_50,Geht eine Bestellung ohne Login?,Nein du kannst auch als Gast bestellen.
faq_51,Wie ändere ich meine Lieferadresse?,Du kannst deine Lieferadresse im Konto unter Adressen ändern.
faq_52,Wo kann ich meine Adresse anpassen?,Du kannst deine Lieferadresse im Konto unter Adressen ändern.
faq_53,Wie bearbeite ich meine Versandadresse?,Du kannst deine Lieferadresse im Konto unter Adressen ändern.
faq_54,Ich möchte meine Adresse ändern wie geht das?,Du kannst deine Lieferadresse im Konto unter Adressen ändern.
faq_55,Kann ich meine Adresse nachträglich ändern?,Du kannst deine Lieferadresse im Konto unter Adressen ändern.
faq_56,Wie kann ich den Kundenservice kontaktieren?,Du kannst uns per E Mail oder über das Kontaktformular erreichen.
faq_57,Wie erreiche ich euren Support?,Du kannst uns per E Mail oder über das Kontaktformular erreichen.
faq_58,Wie kann ich euch kontaktieren?,Du kannst uns per E Mail oder über das Kontaktformular erreichen.
faq_59,Gibt es einen Kundenservice?,Du kannst uns per E Mail oder über das Kontaktformular erreichen.
faq_60,Wie nehme ich Kontakt auf?,Du kannst uns per E Mail oder über das Kontaktformular erreichen.
faq_61,Wo finde ich meine Rechnungen?,Du kannst deine Rechnungen in deinem Kundenkonto unter Bestellungen einsehen.
faq_62,Wie lade ich meine Rechnung herunter?,Du kannst deine Rechnungen in deinem Kundenkonto unter Bestellungen einsehen.
faq_63,Wo kann ich meine Bestellrechnung sehen?,Du kannst deine Rechnungen in deinem Kundenkonto unter Bestellungen einsehen.
faq_64,Gibt es eine Rechnung zu meiner Bestellung?,Du kannst deine Rechnungen in deinem Kundenkonto unter Bestellungen einsehen.
faq_65,Wie bekomme ich meine Rechnung?,Du kannst deine Rechnungen in deinem Kundenkonto unter Bestellungen einsehen.
faq_66,Kann ich meine Bestellung ändern?,Änderungen sind nur möglich solange die Bestellung noch nicht versendet wurde.
faq_67,Wie bearbeite ich eine Bestellung nachträglich?,Änderungen sind nur möglich solange die Bestellung noch nicht versendet wurde.
faq_68,Ist eine Änderung meiner Bestellung möglich?,Änderungen sind nur möglich solange die Bestellung noch nicht versendet wurde.
faq_69,Wie kann ich meine Bestellung anpassen?,Änderungen sind nur möglich solange die Bestellung noch nicht versendet wurde.
faq_70,Kann ich Artikel nachträglich hinzufügen?,Änderungen sind nur möglich solange die Bestellung noch nicht versendet wurde.
faq_71,Was mache ich wenn meine Lieferung beschädigt ist?,Bitte kontaktiere unseren Support mit Fotos des Schadens.
faq_72,Meine Bestellung ist kaputt angekommen was tun?,Bitte kontaktiere unseren Support mit Fotos des Schadens.
faq_73,Was tun bei beschädigter Ware?,Bitte kontaktiere unseren Support mit Fotos des Schadens.
faq_74,Artikel defekt geliefert wie gehe ich vor?,Bitte kontaktiere unseren Support mit Fotos des Schadens.
faq_75,Meine Lieferung ist beschädigt wie melde ich das?,Bitte kontaktiere unseren Support mit Fotos des Schadens.
faq_76,Liefern ihr auch ins Ausland?,Ja wir liefern auch international.
