product_id,name,description,category,price,currency,availability,features,url
prod_001,NexaLamp Air E27,"Smarte LED-Lampe fuer flexible Lichtszenen im Wohn- oder Arbeitsbereich.",smart_home,24.90,EUR,available,"WLAN|Dimmbar|Sprachsteuerung|Warm-Kaltweiss","https://nexamarket.example/products/nexalamp-air-e27"
prod_002,NexaLamp Color Beam,"RGB-Lichtleiste fuer Schreibtisch- und Entertainment-Setups.",smart_home,49.90,EUR,available,"RGB-Szenen|App-Steuerung|Musikmodus|USB-C","https://nexamarket.example/products/nexalamp-color-beam"
prod_003,HomeSense Motion Mini,"Kompakter Bewegungssensor fuer automatisierte Routinen im Smart Home.",smart_home,29.90,EUR,available,"Batteriebetrieb|App-Benachrichtigung|IFTTT-kompatibel","https://nexamarket.example/products/homesense-motion-mini"
prod_004,SecureCam Indoor 2K,"Innenkamera mit Privatsphaerenblende und Bewegungserkennung.",smart_home,79.90,EUR,available,"2K-Video|Nachtsicht|Zwei-Wege-Audio|Privatsphaerenmodus","https://nexamarket.example/products/securecam-indoor-2k"
prod_005,SecureCam Outdoor Pro,"Wetterfeste Sicherheitskamera fuer Einfahrt, Garten und Hauseingang.",smart_home,129.00,EUR,limited,"2K-Video|IP66|Spotlight|Personenerkennung","https://nexamarket.example/products/securecam-outdoor-pro"
prod_006,ClimateCore Thermostat X,"Lernfaehiges Thermostat fuer energieeffiziente Heizungssteuerung.",smart_home,159.00,EUR,available,"Zeitplaene|Geofencing|Energieberichte|App-Steuerung","https://nexamarket.example/products/climatecore-thermostat-x"
prod_007,PowerPlug Duo Matter,"Smarte Doppelsteckdose fuer Lampen, Kaffeemaschinen und Kleinverbraucher.",smart_home,34.90,EUR,available,"Matter|Energieverbrauch|Zeitsteuerung|Sprachassistenten","https://nexamarket.example/products/powerplug-duo-matter"
prod_008,AirPure Desk S,"Leiser Luftreiniger fuer kleine Raeume und Homeoffice-Zonen.",smart_home,119.00,EUR,available,"HEPA-Filter|Silent Mode|Luftqualitaetssensor|Timer","https://nexamarket.example/products/airpure-desk-s"
prod_009,DeskDock 11-in-1,"USB-C-Dockingstation fuer hybride Arbeitsplaetze mit einem Kabel.",office_tech,149.00,EUR,available,"Dual-HDMI|100W Power Delivery|Ethernet|SD-Leser","https://nexamarket.example/products/deskdock-11-in-1"
prod_010,DeskDock Compact 6,"Kompakter Multiport-Adapter fuer mobile Notebooks und Tablets.",office_tech,69.90,EUR,available,"HDMI|USB-A|USB-C|PD-Passthrough","https://nexamarket.example/products/deskdock-compact-6"
